City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Behbahan,IR,94.32,clear sky,30.5959,50.2417,شهرکدامداران ماهشهر
110,Sakakah,SA,94.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
219,Kusti,SD,102.49,overcast clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
222,Nizwa,OM,92.23,clear sky,22.9333,57.5333,Orient Apartments
224,Sindou,BF,90.54,broken clouds,10.6667,-5.1667,LERABA HOTEL
300,Qeshm,IR,91.27,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
303,Quelimane,MZ,98.55,few clouds,-17.8786,36.8883,Hotel Flamingo
334,Buraydah,SA,90.05,broken clouds,26.326,43.975,فندق راحة السلام
387,Abu Dhabi,AE,91.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
390,Siyabuswa,ZA,99.18,clear sky,-25.1132,29.0445,Survivor Africa Game Lodge
454,Sokoto,NG,96.3,broken clouds,13.0609,5.239,Shukura Coral Hotel
464,Kaduqli,SD,99.43,scattered clouds,11.0167,29.7167,فندق الله جابو
501,Aswan,EG,92.5,clear sky,24.0934,32.907,Nuba Nile
529,Jizan,SA,94.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
540,Dehloran,IR,90.36,clear sky,32.6941,47.2679,کافه گیم استورم
562,Tsiroanomandidy,MG,94.21,few clouds,-18.7667,46.0333,Hotel du Bongolave
