City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Husavik,IS,2021-11-02 10:41:34,66.0449,-17.3389,30.11,86,100,21.47,light snow
1,Anadyr,RU,2021-11-02 10:41:35,64.75,177.4833,-12.5,77,20,13.42,few clouds
2,Loikaw,MM,2021-11-02 10:41:35,19.6742,97.2094,69.71,89,67,2.39,broken clouds
3,Ostrovnoy,RU,2021-11-02 10:41:35,68.0531,39.5131,39.02,95,100,29.42,overcast clouds
4,Te Anau,NZ,2021-11-02 10:41:36,-45.4167,167.7167,37.67,93,39,4.0,scattered clouds
5,Avarua,CK,2021-11-02 10:41:36,-21.2078,-159.775,75.25,83,40,11.5,scattered clouds
6,Barrow,US,2021-11-02 10:41:36,71.2906,-156.7887,-2.18,84,20,8.05,mist
7,Behbahan,IR,2021-11-02 10:41:37,30.5959,50.2417,94.32,12,0,13.35,clear sky
8,Rikitea,PF,2021-11-02 10:41:37,-23.1203,-134.9692,72.19,77,98,15.48,overcast clouds
9,Albany,US,2021-11-02 10:41:37,42.6001,-73.9662,42.15,81,99,3.18,overcast clouds
10,Hithadhoo,MV,2021-11-02 10:41:38,-0.6,73.0833,82.89,76,17,17.05,few clouds
11,Villa Bruzual,VE,2021-11-02 10:41:38,9.3328,-69.1208,69.62,91,68,3.53,broken clouds
12,Puerto Ayora,EC,2021-11-02 10:41:38,-0.7393,-90.3518,67.91,92,71,4.65,broken clouds
13,Arraial Do Cabo,BR,2021-11-02 10:41:39,-22.9661,-42.0278,71.46,88,75,6.91,broken clouds
14,Port Keats,AU,2021-11-02 10:41:39,-14.25,129.55,84.96,71,66,6.87,broken clouds
15,Bluff,NZ,2021-11-02 10:41:39,-46.6,168.3333,46.8,57,59,8.48,broken clouds
16,Georgetown,MY,2021-11-02 10:39:31,5.4112,100.3354,80.53,88,40,5.01,scattered clouds
17,Ancud,CL,2021-11-02 10:41:40,-41.8697,-73.8203,51.33,90,100,8.9,overcast clouds
18,Butaritari,KI,2021-11-02 10:41:40,3.0707,172.7902,82.04,73,70,12.82,broken clouds
19,Hambantota,LK,2021-11-02 10:41:40,6.1241,81.1185,88.14,74,40,6.91,scattered clouds
20,Ushuaia,AR,2021-11-02 10:41:27,-54.8,-68.3,44.26,87,0,3.44,clear sky
21,Ovalle,CL,2021-11-02 10:41:41,-30.5983,-71.2003,60.93,74,1,1.16,clear sky
22,Hastings,GB,2021-11-02 10:41:41,50.8552,0.5729,53.4,69,42,5.46,scattered clouds
23,Darnah,LY,2021-11-02 10:41:42,32.767,22.6367,77.25,57,21,10.65,few clouds
24,Tiksi,RU,2021-11-02 10:41:42,71.6872,128.8694,-6.72,100,72,5.39,broken clouds
